Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",,14090.0,,0,0,1.25,Low
"Nokia C31, 6.75"",13MP,64GB + 4GB RAM (Dual SIM), 5050MAh, (Dual Sim),Charcoal Grey, 1YR WRTY",,15519.0,,0,0,1.25,Low
"Samsung Galaxy A15, 6.5"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Light Blue, (1YR WRTY)",,26449.0,,0,0,1.25,Low
"VILLAON V20 6.3"" 2GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim-Blue",,6289.0,,0,0,1.25,Low
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue",,7089.0,,0,0,1.25,Low
"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Blue",,16899.0,,0,0,1.25,Low
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starfall Green (1YR WRTY)",,12318.0,,0,0,1.25,Low
Itel S23 128GB + 4GB Android 12 +SMARTNETS 1,,11280.0,,0,0,1.25,Low
"Samsung Galaxy A14, 6.6"", 64GB + 4GB, 50MP, Dual SIM, 5000mAh, Black",,18899.0,,0,0,1.25,Low
"XIAOMI Redmi Note 12, 6.67'' , 8GB+256GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray",,26899.0,,0,0,1.25,Low
"Tecno Camon 20  6.67-inch 256GB+8GB RAM-64 MP-battery-5000mAh-+ALL GIFTS,./CY//",,24999.0,,0,0,1.25,Low
"Tecno Spark 10C, 6.6"", 128GB + 4GB, Dual SIM, 5000mAh + Smart Watch & Power Bank",,18799.0,,0,0,1.25,Low
"XIAOMI Redmi 13C , 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black",,18099.0,,0,0,1.25,Low
"Samsung Galaxy A03 Core, 6.5"", (Dual SIM) 32GB + 2GB RAM, 5000mAh_ Black + FREE GIFTS",,12350.0,,0,0,1.25,Low
"Infinix Smart 7 HD 6.6"" HD+, 64GB + 2GB RAM Expandable To 4GB, 5000mAh + Free Gifts",,12399.0,,0,0,1.25,Low
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",,19895.0,,0,0,1.25,Low
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV â€“ Black (1YR WRTY)",,27999.0,,0,0,1.25,Low
"Gld 32"" Smart Frameless HD LED Television - Black",,11760.0,,0,0,1.25,Low
Hisense 55A6K UHD 55 inches smart TV (2YRs WRTY),,57499.0,,0,0,1.25,Low
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",,11790.0,,0,0,1.25,Low
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,,20599.0,,0,0,1.25,Low
"WK 32"" H2ST Smart Frameless Led TV, NO BLUETOOTH",,11657.0,,0,0,1.25,Low
"Amtec 32R1S, 32"" Inch Smart Android TV 1GB RAM,8GB ROM, LED TV With Bluetooth.",,11967.0,,0,0,1.25,Low
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV (1YR WRTY)",,10999.0,,0,0,1.25,Low
"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT. (2YRs WRTY)",,11550.0,,0,0,1.25,Low
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black",,32999.0,,0,0,1.25,Low
Hisense 43A6K 43 inch 4K UHD Smart TV (2YRs WRTY),,37199.0,,0,0,1.25,Low
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,,11999.0,,0,0,1.25,Low
"Royal 43"" Smart Frameless Full HD LED Television - Black",,20526.0,,0,0,1.25,Low
"Gld 43"" Smart Frameless Full HD LED Television - Black",,19497.0,,0,0,1.25,Low
"Tecno Camon 30, 6.78"", 256GB + 8GB (8GB RAM Extended) 4G (Dual SIM) - 5000mAh- Balistic Dark + TWS Earpods",,29999.0,,0,0,1.25,Low
"Tecno Spark 20,6.6"",4+128GB 50MP Camera,5000mAh,Gravity Black (1YR WRTY)",,14799.0,,0,0,1.25,Low
"Tecno Spark 20, 6.6"", 128GB + 8GB RAM (4GB+4GB Extended), 50MP, 5000mAh, Cyber White",,14799.0,,0,0,1.25,Low
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM, 50MP Camera, 5000mAh,Gravity Black (1YR WRTY)",,19299.0,,0,0,1.25,Low
